"설치시설명",상세설치장소,설치유형,소재지도로명주소,소재지지번주소,위도,경도,성인아동범용여부,제조사,제조번호,운영담당자명,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자
"강변센트럴하이츠",후문 초소 안,장비부착고정형,울산광역시 남구 중앙로290번길 53,,35.54813652,129.314852,N,니혼코덴코리아,6630,김민국,052-256-0215,강변센트럴하이츠,052-256-0215,강변센트럴하이츠,2018-08-29
"울산광역시 남구보건소",남구보건소1층 민원실 옆,캐비넷방식고정형,울산광역시 남구 삼산동 삼산중로132,,35.54532145,129.3365256,Y,필립스,B09B-00036,차명옥,052-226-2420,울산광역시 남구보건소,052-226-2423,울산광역시 남구보건소,2018-08-29
"울산광역시 남구 장생포보건지소",장생포보건지소 1층 민원실 옆,캐비넷방식고정형,울산광역시 남구 장생포동 41-4,,35.50301841,129.3781041,Y,필립스,A550229-1961,차명옥,052-226-2420,울산광역시 남구보건소,052-226-2423,울산광역시 남구보건소,2018-08-29
"대현동주민센터",대현동주민센터 1층 사무실 안,캐비넷방식고정형,울산광역시 남구 수암로 182,,35.52652984,129.3267922,N,씨유메디칼,G1P21M211130,한제우,052-226-2802,울산광역시 남구보건소,052-226-2802,울산광역시 남구보건소,2018-08-29
"삼산동주민센터",삼산동주민센터 내,캐비넷방식고정형,울산광역시 남구 삼산중로 131번길 36,,35.54437252,129.3318335,N,메디아나,149000000-000,차명옥,052-226-2423,울산광역시 남구보건소,052-226-2423,울산광역시 남구보건소,2018-08-29
"무거동주민센터",무거동주민센터 내,캐비넷방식고정형,울산광역시 남구 대학로 147번길 38,,35.55093116,129.2606674,N,메디아나,149000000-000,차명옥,052-226-2423,울산광역시 남구보건소,052-226-2423,울산광역시 남구보건소,2018-08-29
"울산광역시 남구보건소",남구보건소(구급차),이동형,울산광역시 남구 삼산동 삼산중로132,,35.54532141,129.3363426,N,씨유메디칼시스템,,차명옥,052-226-2420,울산광역시 남구보건소,052-226-2423,울산광역시 남구보건소,2018-08-29
"신정2동주민센터",1층 주민센터 입구 안,캐비넷방식고정형,울산광역시 남구 봉월로20번길 9,,35.53465761,129.307846,N,씨유,G1P21M211,최기남,052-226-2792,울산광역시 남구보건소,052-226-2792,울산광역시 남구보건소,2018-08-29
"옥동주민센터",옥동주민센터 1층 사무실,캐비넷방식고정형,울산광역시 남구 문수로369번길 5,,35.53527764,129.293868,N,(주)나눔테크,10051-0000-1701772,김가영,052-226-2805,울산광역시 남구보건소,052-226-2805,울산광역시 남구보건소,2018-08-29
"달동주민센터",달동주민센터 1층 사무실,캐비넷방식고정형,울산광역시 남구 돋질로92번길 28,,35.53635798,129.316533,N,메디아나,,손창익,052-226-2563,울산광역시 남구보건소,052-226-2430,울산광역시 남구보건소,2018-08-29
"남구육아종합지원센터",영유아플라자 1층 엘리베이터 맞은편 벽면,캐비넷방식고정형,울산광역시 남구 돋질로 251,,35.5436446,129.332292,N,미국/ philps medical systems,B15E-01989,권현지,052-222-9511,남구육아종합지원센터,052-222-9511,울산광역시 남구청,2018-08-29
"남구육아종합지원센터",옥현어린이도서관 별관 장난감대여관 문수점 1층출입구 옆,장비부착고정형,울산광역시 남구 옥현로58번길 40,,35.53912699,129.2643224,Y,미국/ philips medical systems,B15E-01987,권현지,052-222-9511,남구육아종합지원센터,052-222-9511,울산광역시 남구청,2018-08-29
"남구육아종합지원센터",영유아플라자 3층 화장실 옆 벽면,장비부착고정형,울산광역시 남구 돋질로 251,,35.5436446,129.332292,Y,미국/ philips medical systems,B15E-02145,권현지,052-222-9511,남구육아종합지원센터,052-222-9511,울산광역시 남구청,2018-08-29
"남구청고래관광과",고래바다여행선 조타실,캐비넷방식고정형,울산광역시 남구 장생포고래로 244,,35.50272735,129.382351,N,(주)씨유메디칼시스템,P2H29B0084,김병태,052-226-5671,남구청 고래관광과,052-226-3402,울산광역시 남구청,2018-08-29
"남구청고래관광과",고래생태체험관 1층,장비부착고정형,울산광역시 남구 장생포고래로 244,,35.50272735,129.382351,N,(주)씨유메디컬시스템,P2H29B0038,김병태,052-226-5671,남구청 고래관광과,052-226-3402,울산광역시 남구청,2018-08-29
"남부소방서 공단안전센터",119구급차,이동형,울산광역시 남구 상개로 190,,35.50132808,129.3187878,N,필립스,,최수현,052-265-5119,남부소방서 공단안전센터,052-265-5119,울산광역시 남부소방서,2018-08-29
"남부소방서 무거안전센터",119구급차,이동형,울산광역시 남구 문수로 89,,35.5513111,129.2552004,N,필립스,,최수현,052-265-5119,남부소방서 무거안전센터,052-265-5119,울산광역시 남부소방서,2018-08-29
"남부소방서 삼산안전센터",119구급차,이동형,울산광역시 남구 삼산중로 149,,35.54711796,129.3354201,N,필립스,,최수현,052-265-5119,남부소방서 삼산안전센터,052-265-5119,울산광역시 남부소방서,2018-08-29
"남부소방서 삼산안전센터",119구급차,이동형,울산광역시 남구 삼산중로 149,,35.54716552,129.3354766,N,한국/(주)씨유메디칼,,최수현,052-265-5119,남부소방서 삼산안전센터,052-265-5119,울산광역시 남부소방서,2018-08-29
"남부소방서 신정안전센터",119구급차,이동형,울산광역시 남구 신정로 87번길 2,,35.53929869,129.3195963,N,필립스,,최수현,052-265-5119,남부소방서 신정안전센터,052-265-5119,울산광역시 남부소방서,2018-08-29
"남부소방서 여천안전센터",119구급차,이동형,울산광역시 남구 여천로 81-33,,35.52531749,129.3413793,N,필립스,,최수현,052-265-5119,남부소방서 여천안전센터,052-265-5119,울산광역시 남부소방서,2018-08-29
"남부소방서 옥동안전센터",119구급차,이동형,울산광역시 남구 대공원로 입구로 21번길 20,,35.53430003,129.2921117,N,필립스,,최수현,052-265-5119,남부소방서 옥동안전센터,052-265-5119,울산광역시 남부소방서,2018-08-29
"달동삼성아파트",관리사무소 내,장비부착고정형,울산광역시 남구 신정로17번길 5,,35.53313577,129.3223401,N,(주)나눔테크,10014-0000-1600130,김범준,052-265-8082,달동삼성아파트,052-265-8082,달동삼성아파트,2018-08-29
"대공원대명루첸아파트",지하1층 관리사무실 내,장비부착고정형,울산광역시 남구 중앙로120번길 12-8,,35.53181731,129.3163098,N,(주)라디안,D-01116060337,조익래,052-257-7072,대공원대명루첸아파트,052-257-7072,대공원대명루첸아파트,2018-08-29
"도성아파트",경비실입구,장비부착고정형,울산광역시 남구 문수로369번길 58,,35.53764545,129.2965283,N,한국메디아나,156000000-000,김세동,052-274-2981,도성아파트,052-274-2981,도성아파트,2018-08-29
"도시관리공단",문수국제양궁장 1층 현관로비 입구,장비부착고정형,울산광역시 남구 남부순환도로 209,,35.53172538,129.2715396,N,필립스,B09F-00584,서성수,052-256-6386,도시관리공단,052-256-6386,울산광역시 남구 도시관리공단,2018-08-29
"도시관리공단",선암호수노인복지관 1층,캐비넷방식고정형,울산광역시 남구 선암호수길 150,,35.51420641,129.3400404,N,(주)씨유메디컬시스템,,권태효,052-268-6080,도시관리공단,052-268-6080,울산광역시 남구 도시관리공단,2018-08-29
"롯데캐슬골드2단지아파트",2층 관리사무소 출입문 앞,장비부착고정형,울산광역시 남구 신선로 46,,35.52097217,129.3166813,N,(주)라디안,D-01117040220,강인식,052-257-1300,롯데캐슬골드2단지아파트,052-257-1300,롯데캐슬골드2단지아파트,2018-08-29
"문수로 아이파크 2단지아파트",단지내 2층 아파트 관리사무소 실내,장비부착고정형,울산광역시 남구 문수로409번길 23,,35.53678358,129.2980648,N,(주)나눔테크,HSA-K12_00234,조윤근,052-268-0006,문수로 아이파크 2단지아파트,052-268-0006,문수로 아이파크 2단지아파트,2018-08-29
"벽산강변타운",1층 관리사무소 내,장비부착고정형,울산광역시 남구 화합로 250,,35.54668631,129.3403006,N,(주)나눔테크,10015-0000-1600428,이상철,052-257-7307,벽산강변타운,052-257-7307,벽산강변타운,2018-08-29
"삼신현대아파트",1층 관리사무소 내,캐비넷방식고정형,울산광역시 남구 월평로 272,,35.54615176,129.3342256,N,(주)라디안,D-01116040975,박춘호,052-266-1093,삼신현대아파트,052-266-1093,삼신현대아파트,2018-08-29
"선암서광아파트",3층 관리사무소 실내,장비부착고정형,울산광역시 남구 두왕로106번길 28-23,,35.51352816,129.3126145,N,(주)나눔테크,HSA-K12-00494,박성욱,052-257-3548,선암서광아파트,052-257-3548,선암서광아파트,2018-08-29
"세양청구마을",1층 관리사무소 내,장비부착고정형,울산광역시 남구 돋질로401번길 12,,35.54404425,129.3510501,N,(주)나눔테크,NT-286,이광범,052-275-4593,세양청구마을,052-275-4593,세양청구마을,2018-08-29
"남부소방서 화학구조대",119구급차,이동형,울산광역시 남구 삼산중로 149,,35.5470747,129.3355137,N,필립스,0,최수현,052-265-5119,남부소방서 화학구조대,052-265-5119,울산광역시 남부소방서,2018-08-29
"시외버스터미널",매표실 벽,캐비넷방식고정형,울산광역시 남구 화합로 133,,35.5364725,129.3395275,N,KOREA/㈜씨유메디칼시스템,P1112A0056,김호준,052-275-8087,시외버스터미널,052-275-8087,울산광역시 시외버스터미널,2018-08-29
"신복현대아파트",정문입구 우체통 옆,캐비넷방식고정형,울산광역시 남구 신복로72번길 29,,35.55151696,129.2532523,N,(주)나눔테크,10014-0000-1600101,육동철,052-249-9040,신복현대아파트,052-249-9040,신복현대아파트,2018-08-29
"신정푸르지오아파트",후문 보안실 입구,장비부착고정형,울산광역시 남구 팔등로 85,,35.54701568,129.3137217,N,니혼코덴,7252,노언석,052-256-7739,신정푸르지오아파트,052-256-7739,신정푸르지오아파트,2018-08-29
"신정푸르지오아파트",정문 입구 보안실 앞,캐비넷방식고정형,울산광역시 남구 팔등로 85,,35.54701568,129.3137217,N,니혼코덴,7230,노언석,052-256-7739,신정푸르지오아파트,052-256-7739,신정푸르지오아파트,2018-08-29
"신정현대홈타운2단지",관리동 1층 관리사무실 내,장비부착고정형,울산광역시 남구 대암로 82,,35.52899006,129.3233183,N,(주)나눔테크,HSA-K12-00072,김종섭,052-227-7061,신정현대홈타운2단지,052-227-7061,신정현대홈타운2단지,2018-08-29
"신정현대홈타운3단지",1층 관리사무소 출입문 안쪽 벽면,장비부착고정형,울산광역시 남구 수암로129번길 25,,35.53065266,129.3228901,N,(주)라디안,D-01117020008,박규철,052-260-1706,신정현대홈타운3단지,052-260-1706,신정현대홈타운3단지,2018-08-29
"신정현대홈타운4단지아파트",1층 관리사무소 현관 입구,캐비넷방식고정형,울산광역시 남구 대암로 51,,35.53174271,129.3226217,N,(주)라디안,D-01117040166,이순호,052-269-5497,신정현대홈타운4단지아파트,052-269-5497,신정현대홈타운4단지아파트,2018-08-29
"쌍용스윗닷홈아파트",1초소 경비실 내부,장비부착고정형,울산광역시 남구 야음로 33,,35.52551368,129.3230417,N,(주)나눔테크,Hsa-K12-00303,김태성,052-227-5451,쌍용스윗닷홈아파트,052-227-5451,쌍용스윗닷홈아파트,2018-08-29
"옥현으뜸마을주공3단지",관리동 1층 관리사무실 내,장비부착고정형,울산광역시 남구 옥현로 34,,35.53936211,129.2587066,N,C-U medical system.inc,PIM3510275,김영재,052-247-3450,옥현으뜸마을주공3단지,052-247-3450,옥현으뜸마을주공3단지,2018-08-29
"옥현주공1단지아파트",관리동 1층 복도,장비부착고정형,울산광역시 남구 옥현로 92-13,,35.54630095,129.2630953,N,(주)라디안,D-01116060136,박성만,052-222-2926,옥현주공1단지아파트,052-222-2926,옥현주공1단지아파트,2018-08-29
"옥현주공2단지아파트",단지내 관리동 2층 복도,장비부착고정형,울산광역시 남구 옥현로 92-12,,35.54269809,129.2624427,N,(주)라디안,D-01116050239,박성진,052-222-2927,옥현주공2단지아파트,052-222-2927,옥현주공2단지아파트,2018-08-29
"울산 달동주공1단지아파트",아파트 정문 경비실,캐비넷방식고정형,울산광역시 남구 번영로107번길 22,,35.53454761,129.3257583,N,(주)나눔테크,HSA-K14-00321,이한희,052-269-9396,울산 달동주공1단지아파트,052-269-9396,울산 달동주공1단지아파트,2018-08-29
"울산 달동주공2단지아파트",관리사무소 내 벽면,장비부착고정형,울산광역시 남구 번영로107번길 5,,35.53298354,129.3266832,N,(주)나눔테크,HSA-K12-00145,김규식,052-266-6697,울산 달동주공2단지아파트,052-266-6697,울산 달동주공2단지아파트,2018-08-29
"울산남구도시관리공단",고래문화마을 사무실 입구,장비부착고정형,울산광역시 남구 장생포고래로 244,,35.50272735,129.382351,N,씨유메디컬,P1N42J0331,안병규,052-226-0900,울산남구도시관리공단,052-226-0900,울산광역시 남구 도시관리공단,2018-08-29
"울산남구도시관리공단",남구국민체육센터 1층 안내데스크,캐비넷방식고정형,울산광역시 남구 여천로 38,,35.52283922,129.3379632,N,미국 / cardiac science,4324168,안병규,052-226-0900,울산남구도시관리공단,052-226-0900,울산광역시 남구 도시관리공단,2018-08-29
"울산달동주공3단지아파트",1층 관리사무소 내,캐비넷방식고정형,울산광역시 남구 번영로107번길 5,,35.53298354,129.3266832,N,씨유메디컬시스템,G1P1GL264,황보순,052-275-4125,울산달동주공3단지아파트,052-275-4125,울산달동주공3단지아파트,2018-08-29
"울산시남구청",1층 종합민원실 출입문옆,장비부착고정형,울산광역시 남구 달동 1320,,35.54386001,129.3302851,N,필립스,B09E-00165,박세진,052-226-4884,울산광역시 남구청,052-226-4884,울산광역시 남구청,2018-08-29
"울산시설공단 가족문화센터",가족문화센터 B동 1층로비 안내대,캐비넷방식고정형,울산광역시 남구 대공원로 84,,35.53196009,129.2905415,N,필립스,C16A-00769,나은숙,052-269-6372,울산시설공단 가족문화센터,052-269-6372,울산광역시 시설관리공단,2018-08-29
"울산시설공단 가족문화센터",가족문화센터 A동 1층로비 동편,캐비넷방식고정형,울산광역시 남구 대공원로 84,,35.53196009,129.2905415,N,필립스,C16A-00770,나은숙,052-269-6372,울산시설공단 가족문화센터,052-269-6372,울산광역시 시설관리공단,2018-08-29
"울산시설공단 근로자종합복지회관",근로자종합복지회관 1층 로비 안내데스트 옆,캐비넷방식고정형,울산광역시 남구 삼산중로 144,,35.54611935,129.3364562,N,니혼코덴,6347,최환대,052-227-4103,울산시설공단 근로자종합복지회관,052-227-4103,울산광역시 시설관리공단,2018-08-29
"울산시설공단 문화공원",문화공원안내소 내,캐비넷방식고정형,울산광역시 남구 돋질로 211,,35.5439562,129.3281998,N,(주)라디안,D-1R311610025,이충만,052-267-8743,울산시설공단 문화공원,052-267-8743,울산광역시 시설관리공단,2018-08-29
"울산시설공단 여성인력개발센터",여성인력개발센터 1층 로비,캐비넷방식고정형,울산광역시 남구 정동로20번길 24,,35.53528447,129.3466892,N,필립스,B15A-00229,이병철,052-258-8061,울산시설공단 여성인력개발센터,052-258-8061,울산광역시 시설관리공단,2018-08-29
"울산시설공단 울산대공원",생태여행관 로비,장비부착고정형,울산광역시 남구 대공원로 94,,35.53098401,129.2939177,N,(주)라디안,D-0111707002,오창환,052-226-0453,울산시설공단 울산대공원,052-226-0453,울산광역시 시설관리공단,2018-08-29
"울산시설공단 울산대공원",울산대공원 남문 청원경찰실,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.52766252,129.2911777,N,(주)라디안,,오창환,052-226-0453,울산시설공단 울산대공원,052-226-0453,울산광역시 시설관리공단,2018-08-29
"울산시설공단 울산대공원",울산대공원 정문 수영장 로비,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.5310835,129.2938269,N,카디악,,오창환,052-226-0453,울산시설공단 울산대공원,052-226-0453,울산광역시 시설관리공단,2018-08-29
"울산시설공단 울산대공원",울산대공원 동물원 사무실내,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.52996036,129.2770234,N,(주)라디안,,오창환,052-226-0453,울산시설공단 울산대공원,052-226-0453,울산광역시 시설관리공단,2018-08-29
"울산시설공단 울산대공원",대공원 동문 청원경찰실,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.53008758,129.3076489,N,(주)라디안,,오창환,052-226-0453,울산시설공단 울산대공원,052-226-0453,울산광역시 시설관리공단,2018-08-29
"울산시설공단 종하체육관",종하체육관,캐비넷방식고정형,울산광역시 남구 봉월로38번길 32,,35.53661289,129.3101994,N,필립스,B15L-01013,박향욱,052-273-0286,울산시설공단 종하체육관,052-273-0286,울산광역시 시설관리공단,2018-08-29
"울산시설관리공단",축구경기장1층 현관 로비입구,장비부착고정형,울산광역시 남구 문수로 44,,35.53492279,129.2590274,N,KOREA/㈜씨유메디칼시스템,P1132D0476,김동규,052-220-2509,울산시설관리공단,052-220-2509,울산광역시 시설관리공단,2018-08-29
"울산시설관리공단",문수실내수영장 1층 로비,캐비넷방식고정형,울산광역시 남구 문수로 44,,35.53259708,129.2622494,N,씨유메디칼,P2H32C0085,김동규,052-220-2509,울산시설관리공단,052-220-2509,울산광역시 시설관리공단,2018-08-29
"울산시설관리공단",문수야구장 1루 덕아웃,캐비넷방식고정형,울산광역시 남구 문수로 44,,35.53199641,129.2659253,N,필립스,B14A-00539,김동규,052-220-2509,울산시설관리공단,052-220-2509,울산광역시 시설관리공단,2018-08-29
"울산시설관리공단",문수야구장 3루 덕아웃,캐비넷방식고정형,울산광역시 남구 문수로 44,,35.53197881,129.2659028,N,필립스,B14A-00747,김동규,052-220-2509,울산시설관리공단,052-220-2509,울산광역시 시설관리공단,2018-08-29
"울산시청식의약안전과",울산시청1층 본관 당직실 앞,장비부착고정형,울산광역시 남구 중앙로 201,,35.5394606,129.3115445,N,필립스,B09E-00057,박성현,052-229-3553,울산시청식의약안전과,052-229-3553,울산광역시청,2018-08-29
"울산시청식의약안전과",울산시청1층 민원봉사실 앞,장비부착고정형,울산광역시 남구 중앙로 201,,35.5394921,129.3115454,N,필립스,B09B-00052,박성현,052-229-3553,울산시청식의약안전과,052-229-3553,울산광역시청,2018-08-29
"울산아데라움아파트",1층 관리사무소 내,장비부착고정형,울산광역시 남구 강남로 348,,35.54596023,129.3455759,N,(주)라디안,D-01116050183,오명석,052-258-9405,울산아데라움아파트,052-258-9405,울산아데라움아파트,2018-08-29
"병영삼일아파트",관리사무소,캐비넷방식고정형,울산광역시 중구 남외로 88,울산광역시 중구 남외동 475-5 외3필지,35.568351,129.345903,y,라디안,DO1117110118,김연규,052-296-4330,병영삼일아파트 관리사무소,052-290-4324,울산광역시도시공사,2018-08-29
"병영삼일아파트",101동 경비실,장비부착고정형,울산광역시 중구 남외로 88,울산광역시 중구 남외동 475-5 외3필지,35.568351,129.345903,y,라디안,DO1117110119,김연규,052-296-4330,병영삼일아파트 관리사무소,052-290-4324,울산광역시도시공사,2018-08-29
"병영삼일아파트",102동 경비실,장비부착고정형,울산광역시 중구 남외로 88,울산광역시 중구 남외동 475-5 외3필지,35.568351,129.345903,y,라디안,DO1117110114,김연규,052-296-4330,병영삼일아파트 관리사무소,052-290-4324,울산광역시도시공사,2018-08-29
"병영삼일아파트",201동 경비실,장비부착고정형,울산광역시 중구 남외로 88,울산광역시 중구 남외동 475-5 외3필지,35.568351,129.345903,y,라디안,DO1117110120,김연규,052-296-4331,병영삼일아파트 관리사무소,052-290-4324,울산광역시도시공사,2018-08-29
"문수데시앙2단지 아파트",관리사무소,캐비넷방식고정형,울산광역시 울주군 청량면 율리영해2길 7,울산광역시 울주군 청량면 율리 1476-1,35.526359,129.241994,y,라디안,DO1117110115,김종대,052-256-9625,문수데시앙2단지 아파트 관리사무소,052-219-8452,울산광역시도시공사,2018-08-29
"문수데시앙2단지 아파트",정문 경비실,장비부착고정형,울산광역시 울주군 청량면 율리영해2길 7,울산광역시 울주군 청량면 율리 1476-1,35.526359,129.241994,y,라디안,DO1117110116,김종대,052-256-9625,문수데시앙2단지 아파트 관리사무소,052-219-8452,울산광역시도시공사,2018-08-29
"문수데시앙3단지 아파트",관리사무소,장비부착고정형,울산광역시 울주군 청량면 율리영해로 13-9,울산광역시 울주군 청량면 율리 1477-1,35.526359,129.241994,y,라디안,DO1117110121,김용구,052-256-9865,문수데시앙3단지 아파트 관리사무소,052-219-8455,울산광역시도시공사,2018-08-29
"문수데시앙3단지 아파트",정문 경비실,캐비넷방식고정형,울산광역시 울주군 청량면 율리영해로 13-9,울산광역시 울주군 청량면 율리 1477-1,35.526359,129.241994,y,라디안,DO1117110117,김용구,052-256-9865,문수데시앙3단지 아파트 관리사무소,052-219-8455,울산광역시도시공사,2018-08-29
"울산도시공사사옥",2층 복도,캐비넷방식고정형,울산광역시 남구 두왕로 318,울산광역시 남구 신정동 1820-1,35.530661,129.308599,y,nihon kohden,AED-3100,강두호,052-219-8444,울산광역시도시공사,052-219-8444,울산광역시도시공사,2018-08-29
"가족문화센터",A동 1층 로비,캐비넷방식고정형,울산광역시 남구 대공원로 84,,35.531671,129.292061,Y,,,정재원,052-269-6372,가족문화센터,052-269-6372,울산시설공단,2018-08-29
"가족문화센터",B동 1층 로비,캐비넷방식고정형,울산광역시 남구 대공원로 84,,35.531651,129.229051,Y,,,정재원,052-269-6372,가족문화센터,052-269-6372,울산시설공단,2018-08-29
"울산대공원",울산대공원내 정문 도움안내실,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.527047,129.292391,Y,,,이준협,052-271-8818,울산대공원,052-271-8818,울산시설공단,2018-08-29
"울산대공원",울산대공원내 동문 도움안내실,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.529875,129.305877,Y,,,이준협,052-271-8818,울산대공원,052-271-8818,울산시설공단,2018-08-29
"울산대공원",울산대공원내 남문 도움안내실,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.528048,129.284004,Y,,,이준협,052-271-8818,울산대공원,052-271-8818,울산시설공단,2018-08-29
"울산대공원",울산대공원내 현충탑 안내실,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.527047,129.292391,Y,,,이준협,052-271-8818,울산대공원,052-271-8818,울산시설공단,2018-08-29
"울산대공원",울산대공원내 동물원,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.530253,129.270935,Y,,,이준협,052-271-8818,울산대공원,052-271-8818,울산시설공단,2018-08-29
"울산대공원",문화공원 공원 안내소,캐비넷방식고정형,울산광역시 남구 돋질로 211,,35.5442612,129.3282505,Y,,,이준협,052-267-8743,울산대공원,052-267-8743,울산시설공단,2018-08-29
"근로복지관",지상1층 안내데스크 좌측,캐비넷방식고정형,울산광역시 남구 삼산중로 144,,35.5461839,129.3361386,Y,,,김정순,052-227-4103,근로복지관,052-227-4103,울산시설공단,2018-08-29
"하늘공원",승화원 안내데스크 옆,캐비넷방식고정형,울산광역시 울주군 삼동면 보삼길 550,,35.4711922,129.1336574,Y,,,김종규,052-255-3837,하늘공원,052-255-3837,울산시설공단,2018-08-29
"하늘공원",장례식장 문서고 앞(남/녀 화장실 앞),캐비넷방식고정형,울산광역시 울주군 삼동면 보삼길 550,,35.4706112,129.1336682,Y,,,김종규,052-255-3837,하늘공원,052-255-3837,울산시설공단,2018-08-29
"문수경기장",문수축구경기장 로비 1층 귀빈실 출입구,캐비넷방식고정형,울산광역시 남구 문수로 44,,35.5352458,129.2595311,Y,,,허지연,052-220-2391,문수경기장,052-220-2391,울산시설공단,2018-08-29
"문수경기장",문수실내수영장 로비 1층,캐비넷방식고정형,울산광역시 남구 문수로 44,,35.5326987,129.2622065,Y,,,허지연,052-220-2223,문수경기장,052-220-2223,울산시설공단,2018-08-29
"문수경기장",문수야구장 덕아웃 내(홈팀),캐비넷방식고정형,울산광역시 남구 문수로 44,,35.5319188,129.2658211,Y,,,허지연,052-220-2390,문수경기장,052-220-2390,울산시설공단,2018-08-29
"문수경기장",문수야구장 덕아웃 내(원정팀),캐비넷방식고정형,울산광역시 남구 문수로 44,,35.5319188,129.2658211,Y,,,허지연,052-220-2390,문수경기장,052-220-2390,울산시설공단,2018-08-29
"여성인력센터",여성인력개발센터 1층로비,캐비넷방식고정형,울산광역시 남구 정동로20번길 24,,35.535446,129.346632,Y,,,엄호준,052-258-8061,여성인력센터,052-258-8061,울산시설공단,2018-08-29
"종합운동장",종합운동장 서측 관리사무실 앞 복도,캐비넷방식고정형,울산광역시 중구 염포로 55(남외동),,35.334611,129.204977,Y,,,이재윤,052-290-7200,종합운동장,052-290-7200,울산시설공단,2018-08-29
"안전기술팀",종합운동장 동측 시설관리공단 출입구 복도,캐비넷방식고정형,울산광역시 중구 염포로 55(남외동),,35.334363,129.205605,Y,,,권동호,052-290-7375,안전기술팀,052-290-7375,울산시설공단,2018-08-29
"종합운동장",동천체육관 외3문내 관리사무실 앞 복도,캐비넷방식고정형,울산광역시 중구 염포로 85(남외동),,35.334292,129.211871,Y,,,이재윤,052-294-4120,종합운동장,052-294-4120,울산시설공단,2018-08-29
"종합운동장",동천국민체육센터 1층 로비 안전요원실 입구,캐비넷방식고정형,울산광역시 중구 염포로 85-1,,35.334869,129.205981,Y,,,이재윤,052-296-2512,종합운동장,052-296-2512,울산시설공단,2018-08-29
"종합운동장",종하체육관 1층 로비,캐비넷방식고정형,울산광역시 남구 봉월로 38-32,,35.536248,129.309215,Y,,,이재윤,052-273-0286,종합운동장,052-273-0286,울산시설공단,2018-08-29
