설치시설명,상세설치장소,설치유형,소재지도로명주소,,위도,경도,성인아동범용여부,제조사,제조번호,운영담당자명,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자
대전도시철도공사 서대전네거리역,지하 2층 역무실 앞,캐비넷방식고정형,대전광역시 중구 계룡로 지하889,,36.32244513,127.4125376,,(주)씨유메디컬시스템,RP1H20B0292,남동우(팩스:042-222-3107),042-222-3107,대전도시철도공사 서대전네거리역,042-222-3107,대전도시철도공사 서대전네거리역,2018-08-21
대전광역시 중구청,1층 민원봉사실 내,캐비넷방식고정형,대전광역시 중구 중앙로 100,,36.32572881,127.4213798,,필립스,B10K06960,권인숙(팩스:042-606-6226),042-606-6372,대전광역시 중구청,042-606-6372,대전광역시 중구청,2018-08-21
사정스케이트장,사정인라인스케이트장 현관,캐비넷방식고정형,대전광역시 중구 사정공원로 160,,36.29809157,127.4062417,,(주)씨유메디컬시스템,RP1113A0005,이찬규,042-584-1919,사정스케이트장,042-584-1919,사정스케이트장,2018-08-21
한밭체육관,한밭체육관 현관,캐비넷방식고정형,대전광역시 중구 대종로 373,,36.31542047,127.4291681,,(주)씨유네트웍스,RP113A0006,이찬규 팩스)042-610-4999,042-610-4912,한밭체육관,042-610-4912,한밭체육관,2018-08-21
공원관리사업소,1층 사무실 내,캐비넷방식고정형,대전광역시 중구 사정동 산1-6,,36.29899101,127.4109691,,필립스 메디컬 시스템,B10F-07348,류경환(유선:042-270-7857,042-270-7857,공원관리사업소,042-270-7857,공원관리사업소,2018-08-21
대전도시공사(오월드),물놀이장,캐비넷방식고정형,대전광역시 중구 사정공원로 70,,36.28800796,127.3980189,,메디아나,1.20E+11,육근원,042-580-4705,대전도시공사(오월드),042-580-4705,대전도시공사(오월드),2018-08-21
대전도시공사(오월드),플라워랜드 1층 의무실내,장비부착고정형,대전광역시 중구 사정공원로 70,,36.29271679,127.3966179,,에스윈,10A00164,박희숙,042-580-4705,대전도시공사(오월드),042-580-4705,대전도시공사(오월드),2018-08-21
대전도시공사(오월드),쥬랜드 의무실내,장비부착고정형,대전광역시 중구 사정공원로 70,,36.28917115,127.4005183,,에스원,10A00188,박희숙,042-580-4705,대전도시공사(오월드),042-580-4705,대전도시공사(오월드),2018-08-21
대전청소년수련마을,1생활관 1층 현관로비,캐비넷방식고정형,대전광역시 중구 침산동 산21,,36.26597957,127.3925076,,필립스메디칼,B1027-04280,박영배(유선:042-285-0351,042-285-0351,대전청소년수련마을,042-285-0351,대전청소년수련마을,2018-08-21
CGV대전,6층 로비,캐비넷방식고정형,대전광역시 중구 계백로 1700,,36.32063038,127.4087997,,(주)나눔테크,NT180-K13-00688,김소정,042-224-0201,CGV대전,042-224-0201,CGV대전,2018-08-21
한밭도서관,1층 의무실,캐비넷방식고정형,대전광역시 중구 서문로 10,,36.30984015,127.4097032,,씨유네트윅스,RP1H20B0276,강희경(유선:042-270-7416,042-270-7416,한밭도서관,042-270-7416,한밭도서관,2018-08-21
ktlinkus(주)중부본부대전지사,성창프라자,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.32310685,127.4584723,,나눔테크,nt180k1200661,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
한밭도서관,1층현관 안내데스크 옆,캐비넷방식고정형,대전광역시 중구 서문로 10,,36.30987687,127.4095152,,씨유네트윅스,RP214980293,강희경(유선:042-270-7416,042-270-7416,한밭도서관,042-270-7416,한밭도서관,2018-08-21
효문화마을관리원,2층 현관입구 옆 사무실 안쪽,캐비넷방식고정형,대전광역시 중구 안영동 71-1,,36.28579236,127.3832701,,필립스,B10F07317,박소정(팩스:042-606-6928),042-589-2212,효문화마을관리원,042-589-2212,효문화마을관리원,2018-08-21
ktlinkus(주)중부본부대전지사,서대전역 광장,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.32254881,127.4032861,,(주)나눔테크,NT180-K13-00419,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,푸른뫼아파트후문 공중전화,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.33034784,127.3994548,,(주)나눔테크,NT180-K12-00947,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,중도쇼핑 앞 공중전화,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.33773935,127.4126984,,(주)나눔테크,NT180-K13-00277,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
대전도시철도유성온천역,유성온천역 대합실,캐비넷방식고정형,대전광역시 유성구 계룡로 지하97,,36.35335232,127.3412517,,씨유메디컬,RP1H20B0040,안상근 팩스)0428254116,042-539-4116,대전도시철도유성온천역,042-539-4116,대전도시철도유성온천역,2018-08-21
대전도시철도유성온천역,대전도시철도 유성온천역 하선승강장,캐비넷방식고정형,대전광역시 유성구 계룡로 지하97,,36.35327731,127.3411628,,씨유메디컬,RP1H20B0187,안상근 팩스)0428254116,042-539-4116,대전도시철도유성온천역,042-539-4116,대전도시철도유성온천역,2018-08-21
대전도시철도유성온천역,대전도시철도 유성온천역 상선승강장,캐비넷방식고정형,대전광역시 유성구 계룡로 지하97,,36.35330787,127.3412073,,씨유메디컬,RP1113A0019,안상근 팩스)0428254116,042-539-4116,대전도시철도유성온천역,042-539-4116,대전도시철도유성온천역,2018-08-21
노은농수산물도매시장관리사무소,청과물동 2층관리사무소,캐비넷방식고정형,대전광역시 유성구 노은동로 33,,36.36586178,127.3189775,,미국/필립스전자,B10E-01026,이동은,042-270-7934,노은농수산물도매시장관리사무소,042-270-7934,노은농수산물도매시장관리사무소,2018-08-21
대전광역시립제1노인전문병원,1층 로비,캐비넷방식고정형,대전광역시 유성구 유성대로 1422,,36.40455587,127.3729344,,(주)메리아나,1.20E+11,유수인,042-862-0023,대전광역시립제1노인전문병원,042-862-0023,대전광역시립제1노인전문병원,2018-08-21
대전광역시유성구청,유성구청 구민봉사실,캐비넷방식고정형,대전광역시 유성구 대학로 211,,36.36218058,127.3562571,,니혼코덴코리아,2632,박한울,042-611-2141,대전광역시유성구청,042-611-2141,대전광역시유성구청,2018-08-21
대전광역시유성구청,유성구청 지하1층 계단 옆,캐비넷방식고정형,대전광역시 유성구 대학로 211,,36.36186124,127.3558709,,니혼코덴코리아,2443,박한울,042-611-2141,대전광역시유성구청,042-611-2141,대전광역시유성구청,2018-08-21
대전광역시인재개발원,1층 대기실,캐비넷방식고정형,대전광역시 유성구 유성대로1312번길 83,,36.40184819,127.3675992,,(주)나눔테크,NT285-K10-00042,김남숙,042-870-0251,대전광역시인재개발원,042-870-0251,대전광역시인재개발원,2018-08-21
대전도시철도공사구암역,구암역 역무실 앞,캐비넷방식고정형,대전광역시 유성구 유성대로 703,,36.35660913,127.3306826,,CU메디칼,RP2149B0012,강문규 팩스: 042-823-5117,042-539-3617,대전도시철도공사구암역,042-539-3617,대전도시철도공사구암역,2018-08-21
대전도시철도공사노은역,노은역 대합실 (역무실 입구),캐비넷방식고정형,대전광역시 유성구 노은로 지하161,,36.37365928,127.3175466,,씨유메디컬,RP1H20B0041,이시준,042-826-3120,대전도시철도공사노은역,042-826-3120,대전도시철도공사노은역,2018-08-21
대전도시철도공사반석역,반석역 대합실 (역무실 입구),캐비넷방식고정형,대전광역시 유성구 북유성대로 지하303,,36.39207939,127.3146349,,CU네트웍스,RP1H20B0092,한근희,042-539-3622,대전도시철도공사반석역,042-539-3622,대전도시철도공사반석역,2018-08-21
대전도시철도공사 월드컵경기장역,지하1층 대합실 (매표소앞),캐비넷방식고정형,대전광역시 유성구 한밭대로 지하 155,,36.36679826,127.3179027,,씨유메디컬,RP1H20B0027,권대식,042-826-3119,대전도시철도공사 월드컵경기장역,042-826-3119,대전도시철도공사 월드컵경기장역,2018-08-21
대전도시철도공사지족역,지족역 대합실 (역무실입구),캐비넷방식고정형,대전광역시 유성구 노은로 273,,36.38408575,127.3194843,,CU네트웍스,RP1H20B0093,김성흠 팩스)0428263121,042-826-3121,대전도시철도공사지족역,042-826-3121,대전도시철도공사지족역,2018-08-21
대전도시철도공사현충원역,현충원역 대합실,캐비넷방식고정형,대전광역시 유성구 현충원로 지하 455,,36.35915782,127.3213745,,씨유네트웍스,RP1H20B0023,이재일 팩스: 042-824-9118,042-539-3618,대전도시철도공사현충원역,042-539-3618,대전도시철도공사현충원역,2018-08-21
유림공원관리사무소,유림공원관리사무소,캐비넷방식고정형,대전광역시 유성구 어은로 27,,36.36068395,127.3576898,,필립스메디칼시스템,B10F-07358,팩스: 042-611-2667,042-824-4581,유림공원관리사무소,042-824-4581,유림공원관리사무소,2018-08-21
ktlinkus(주)중부본부대전지사,둔산동 타임월드 국기게양대앞,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.35195521,127.3781664,,(주)나눔테크,NT180-K13-00416,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,향촌아파트 상가,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.35333085,127.3763103,,(주)나눔테크,NT180-K13-00418,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,구봉5단지아파트상가앞 공중전화 우측하단,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.30036733,127.3284232,,(주)나눔테크,NT180-K13-00280,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,우성아파트상가 공중전화 우측 하단,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.30534521,127.3645827,,(주)나눔테크,NT180-K12-00946,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
대전광역시도시철도공사(서구지역),월평역 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35824753,127.3647291,,(주)씨유메디컬시스템,RP2149B0008,박찬범,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),용문역 판암방향 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.33826984,127.3932799,,(주)씨유메디컬시스템,RP2149B0163,이슬기,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),정부청사역 반석방향 승강장,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35748962,127.3811924,,(주)씨유메디컬시스템,RP1H250B0184,이한정,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),갈마역 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35760652,127.3727032,,(주)씨유메디컬시스템,RP1H20B0182,이숙희,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),용문역 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.33826984,127.3932799,,(주)씨유메디컬시스템,RP1H20B0066,이슬기,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),탄방역 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.34548418,127.3845649,,(주)씨유메디컬시스템,RP1H20B0265,유아름,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),정부청사역 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35752566,127.3811926,,(주)씨유메디컬시스템,RP1H20B0175,이한정,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),시청역 외삼방향 승강장,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35140877,127.3867152,,(주)씨유메디컬시스템,RP1H20B0148,이건순,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),정부청사역 판암방향 승강장,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35747145,127.3812369,,(주)씨유메디컬시스템,RP1H20B0036,이한정,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시도시철도공사(서구지역),갑천역 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35456204,127.3544398,,(주)씨유메디컬시스템,RP2149B0014,전정하,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시시설관리공단 정수원(화장장),정수원(화장장) 1층 로비,캐비넷방식고정형,대전광역시 서구 계백로1249번길 174-82,,36.31505198,127.3600735,,(주)나눔테크,NT180-K12-00067,이승현(팩스:042-610-23990),042-610-2300,대전광역시시설관리공단 정수원(화장장),042-610-2300,대전광역시시설관리공단 정수원(화장장),2018-08-21
대전광역시한밭수목원,대전광역시한밭수목원 사무실내,캐비넷방식고정형,대전광역시 서구 둔산대로 169,,36.36805076,127.3880991,,씨유메디칼시스템,RP1H20B0269,김혜숙,042-270-8477,대전광역시한밭수목원,042-270-8477,대전광역시한밭수목원,2018-08-21
대전예술의전당,아트홀매표소내,캐비넷방식고정형,대전광역시 서구 둔산대로 135,,36.36661209,127.3837596,,일본 Nihon Kohden/에스원,SN02434,김병규,042-270-8141,대전예술의전당,042-270-8141,대전예술의전당,2018-08-21
대전예술의전당,앙상블홀매표소내,캐비넷방식고정형,대전광역시 서구 둔산대로 135,,36.36661209,127.3837596,,일본 Nihon Kohden/에스원,SN02434,김병규,042-270-8141,대전예술의전당,042-270-8141,대전예술의전당,2018-08-21
연정국악문화회관,엑스포시민광장관리동 2층,캐비넷방식고정형,대전광역시 서구 둔산대로 181,,36.36645312,127.3894416,,에스원,SN02245,강태구,042-270-8511,연정국악문화회관,042-270-8511,연정국악문화회관,2018-08-21
연정국악문화회관,본관 1층 엘리베이터 옆,캐비넷방식고정형,대전광역시 서구 둔산대로 181,,36.36645312,127.3894416,,에스원,SN02245,강태구,042-270-8511,연정국악문화회관,042-270-8511,연정국악문화회관,2018-08-21
평송청소년문화센터,평송청소년문화센터 수영장 탈의실 앞,캐비넷방식고정형,대전광역시 서구 둔산대로 201,,36.36585768,127.3918499,,"한국, 주)메디아나",1.20E+11,팩스: 042-480-1699,042-480-1640,평송청소년문화센터,042-480-1640,평송청소년문화센터,2018-08-21
ktlinkus(주)중부본부대전지사,성남사거리,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.34076863,127.4356831,,나눔테크,nt180k1200463,김정회,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,선비마을3단지,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.36904765,127.4415101,,대한민국/(주)나눔테크,NJ-180 K13-00423,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,중리주공1단지,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.36713991,127.4248477,,대한민국/(주)나눔테크,NT180-K12-00945,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,선비마을 송촌2단지 상가,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.36919791,127.4388857,,대한민국/(주)나눔테크,NT-180-K13-00282,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,송촌5단지,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.36579815,127.4458463,,대한민국/(주)나눔테크,NT-180-K12-00722,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,법동한마음@상가,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.37094855,127.4313047,,대한민국/(주)나눔테크,NT-180-K12-00724,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
법동종합사회복지관,법동종합사회복지관 1층,장비부착고정형,대전광역시 대덕구 계족로664번길 27 법동종합사회복지관,,36.37094855,127.4313047,,(주)씨유메디칼시스템,G1N05C0310,은석민,042-633-0239,법동종합사회복지관,042-633-0239,법동종합사회복지관,2018-08-21
대전종합사회복지관,대전종합사회복지관 1층 출입구,장비부착고정형,대전광역시 대덕구 우암동로15번길 20,,36.35975133,127.4511197,,(주)씨유메디칼시스템,G1N05C0163,김연환,042-627-2957,대전종합사회복지관,042-627-2957,대전종합사회복지관,2018-08-21
대덕구청,민원지적과,캐비넷방식고정형,대전광역시 대덕구 대전로1033번길 20,,36.34660008,127.4157039,,씨유메디컬시스템,RP1H20B0268,강경희(유선:042-608-6703,042-608-6707,대덕구청,042-608-6707,대덕구청,2018-08-21
ktlinkus(주)중부본부대전지사,탄약사령부정문,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.40567908,127.4432468,,대한민국/(주)나눔테크,1.49E+11,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
가양초등학교,대전가양초등학교 중앙현관 1층,캐비넷방식고정형,대전광역시 동구 가양로 61,,36.34236194,127.4415644,,라디안,D0.1116060022,양성숙,042-633-1987,가양초등학교,042-633-1987,가양초등학교,2018-08-21
계룡산국립공원사무소,수통골분소 내 입구,캐비넷방식고정형,충청남도 공주시 반포면 동학사1로 327-6,,36.34505441,127.2881651,,(주)씨유메디칼시스템,G1M40X0487,서재우,042-825-5715,계룡산국립공원사무소,042-825-5715,계룡산국립공원사무소,2018-08-21
중리종합사회복지관,중리종합사회복지관내 2층 자원봉사실,장비부착고정형,대전광역시 대덕구 계족로663번길 34 중리종합사회복지관,,36.37097946,127.4254497,,"대한민국,㈜씨유메디칼시스템",G1N05C0028,남광철,042-628-1476,중리종합사회복지관,042-628-1476,중리종합사회복지관,2018-08-21
장태산관리사무소,2층 사무실 내,캐비넷방식고정형,대전광역시 서구 장안로 461,,36.21596913,127.3412778,,필립스,B20H-03995,고봉현,042-270-7883,장태산관리사무소,042-270-7883,장태산관리사무소,2018-08-21
동부여성가족원,1층 로비,캐비넷방식고정형,대전광역시 대덕구 선비마을로 260,,36.37496754,127.4283627,,(주)씨유메디컬,RP1H20B0207,한택곤,042-270-7712,동부여성가족원,042-270-7712,동부여성가족원,2018-08-21
대전광역시도시철도공사(서구지역),시청역 판암방향 승강장,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35140877,127.3867152,,(주)씨유메디컬시스템,RP1H20B0202,이건순,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
ktlinkus(주)중부본부대전지사,중리제민약국,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.36132686,127.4295224,,대한민국/(주)나눔테크,NT180-K13-00281,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
대전광역시서구청,서구청 1층 민원실,캐비넷방식고정형,대전광역시 서구 둔산서로 100,,36.35548967,127.3838008,,니혼코덴코리아,SN-02414,최윤주 팩스)042-611-8617,042-611-6710,대전광역시서구청,042-611-6710,대전광역시서구청,2018-08-21
파밀리에아파트,홍도동 파밀리에아파트 통합초소비치(1단지 정문 앞),캐비넷방식고정형,"대전광역시 동구 동산초교로 46 홍도동, 파밀리에아파트",,36.34870787,127.425202,,나눔테크,nt10015-0000-1600385,이수칠,042-639-8220,파밀리에아파트,042-639-8220,파밀리에아파트,2018-08-21
연광자립원,1층 사무실 앞,캐비넷방식고정형,대전광역시 서구 영골길 159,,36.22588527,127.3138478,,Philips Medical Systems,HeartStart ECG 861389,박찬,042-581-0083,연광자립원,042-581-0083,연광자립원,2018-08-21
동심원,1층 중앙현관 안쪽,캐비넷방식고정형,대전광역시 서구 영골길 159 동심원,,36.22588527,127.3138478,,Philips Medical System,C16E-01523,김경일,042-581-2254,동심원,042-581-2254,동심원,2018-08-21
대전금동초등학교,대전광역시 서구 관저로 45,캐비넷방식고정형,대전광역시 서구 관저로 45,,36.29821731,127.3263747,,주식회사라디안,제허14 1338호,서연숙,042-542-3331,대전금동초등학교,042-542-3331,대전금동초등학교,2018-08-21
한국타이어테크노돔,3층 러닝센터,캐비넷방식고정형,대전광역시 유성구 유성대로935번길 50,,36.37971941,127.3382027,,메디아나,1.56E+11,한주희,042-724-1000,한국타이어테크노돔,042-724-1000,한국타이어테크노돔,2018-08-21
한국타이어테크노돔,"지하1층, 건강관리실 입구방향",캐비넷방식고정형,대전광역시 유성구 유성대로935번길 50,,36.37971941,127.3382027,,씨유메디칼,P1M15C0167,한주희,042-724-1000,한국타이어테크노돔,042-724-1000,한국타이어테크노돔,2018-08-21
한국타이어테크노돔,1층 기숙사동,캐비넷방식고정형,대전광역시 유성구 유성대로935번길 50,,36.37971941,127.3382027,,메디아나,1.56E+11,한주희,042-724-1000,한국타이어테크노돔,042-724-1000,한국타이어테크노돔,2018-08-21
